address1,city,zip,subDivision,state,beds,baths,full_baths,half_baths,price,lotSizeSqFt,sqft,yearBuilt,dateAdded,description
9 Galaxy Way,Sherwood Park,T8A 2J9,Glen Allan,AB,4,3,2,1,"$434,900",6598.27,1055,1972,10/7/2021,"Triple Car Garage!...this charming bungalow offers 2000+ sqft of developed space on 2 levels. As you pull up to the front you will feel the park like setting while you enjoy your newer exterior and maintenance free decking. Upgrades include new HWT, new windows, siding and shingles to name a few. Loads  of cooking space in your kitchen featuring maple cabinets and granite countertops. Dining room is open to the your bright living room with large window. Entire main floor has hardwood floors. Your primary bedroom boasts a large window to the private back yard and 2 piece ensuite. The other 2 bedrooms on the main floor share the main 4 piece bath. The lower level offers you tons of storage with shared laundry and a separate in law suite. Suite has 1 large bedroom, 3 piece bath, kitchen, family room . The private back yard is partially fenced, with a new Triple car garage, radiant heater and all new concrete."
580 Stout Bend,Leduc,T9E 1K3,Southfork,AB,5,4,3,1,"$442,377",-1.0,1753,2018,10/7/2021,"Welcome to this beautiful 3 year old home in Southfork!  This well maintained home has 5 bedrooms and 3.5 baths.  It's perfect for working from home with a  main floor at home office, leading to an open floor plan that includes the living room and kitchen area.  The living room is large enough for the whole family.  The kitchen boasts granite counter tops, gas stove and stainless steel appliances.  The upper floor has 3 spacious bedrooms a full ensuite bathroom and a full bathroom and a flex room that is perfect for a growing family.  Downstairs you will find an additional 2 bedrooms, a large storage room and a large rec room.  This home also has a fully fenced back yard, featuring a separate dog run, a great patio and yard space.  The detached double car garage is easily accessible from the back lane.  There is great access to many of the nearby amenities, this home is sure to impress!  Come by and take a look!"
3802 33 Avenue,Leduc,T9E 6E5,Caledonia,AB,4,2,1,1,"$259,392",6544.02,1040,1981,10/7/2021,"Great value and affordability!  A perfect starter home for the 1st time buyer or an investor.  Location! Location! Location!  Only 1 block away from a K-9 school!  This bungalow sits on a large end lot in Leduc's Caledonia area.  The sunny and cheerful main level has laminate flooring throughout, including the open concept kitchen and dining room.  Lots of natural light warms up this home with a beautiful south facing bay window and 2 new windows facing the backyard.  When the temperature falls, light the wood burning fireplace in the living room to heat things up.   The master bedroom (with 2-piece ensuite), 2 additional bedrooms, and a 4-piece bathroom round out the features of the main living space.  This home also has a gravel driveway and large oversized 24' x 24' garage.  The basement is partially finished; with 1 more bedroom, possibility for another bathroom, and a large rec room featuring another wood burning stove."
21 Halden Crescent,Spruce Grove,T7X 2W1,Hilldowns,AB,3,3,3,-1,"$359,000",5048.27,1150,1996,10/7/2021,"Ideal bungalow for family! This home enjoys a fantastic location in Hilldowns and has lovely curb appeal, plus an excellent yard backing green space! Enjoy a light and bright home with 3 bedrooms up, 3 baths including a 3-pce ensuite. The fully finished basement has a spacious family room featuring art niches, pot lighting, gas fireplace for cozy movie or games nights, a bar area, and office/den. From the dining room, step out to your tiered deck where you'll enjoy views of the beautiful yard, which is fully fenced and offers shade trees, lush lawn, and no neighbors behind you! You'll love the access to park areas, trails, and soccer field beyond. Parking is easy with a heated double attached garage, and upgrades include new shingles less than 3 years old, new deck railing and paint. With excellent proximity to schools, restaurants and abundant services, plus public transportation, the location can't be beat! Welcome home!"
4713 57 Avenue,Wetaskiwin,T9A 1B4,None,AB,3,2,1,1,"$259,900",10000.09,953,1910,10/7/2021,"LOVE AT FIRST SIGHT from the moment you walk through the door of this MODERN, UPDATED, CHARMING BUNGALOW! Original, built-in shelving and cabinetry are one of the many features of this Home. Beautiful laminate flooring, flows throughout. Bright, neutral paint tones with dark metal accents are pleasing. All new vinyl windows, with a lifetime warranty, great for ENERGY EFFICIENCY. Gorgeous Dining Room/ Kitchen with open beam ceilings and faux shiplap walls with tons of cabinetry for storage. Open the patio doors to you GORGEOUS 3-SEASON SITTING ROOM for peace and relaxation. A large Primary Bedroom is inviting with a 4-piece main bath along with the convenience of main floor laundry. Finished basement has 2 additional bedrooms, family room and 3-piece bathroom. This whole package situated on 2 spacious lots featuring a double, heated garage. Fantastic location close to Hospital and schools. YOUR PERFECT PLACE TO CALL HOME!"
193 52521 Rge Rd 222,Rural Strathcona County,T8E 2G2,Greenbrae,AB,5,4,3,1,"$559,000",-1.0,1597,1978,10/7/2021,"This home is located on 3.1 beautiful acres of the perfect mix of mature trees and open space and is set up to grow your own vegetables and raise your own chickens!    Inside you will feel at home with the warm decor, fireplaces and inviting open living areas. Upstairs you will appreciate the kitchen that is open to the dinning area with patio doors that lead you outside to a large deck, the perfect spot for your morning coffee and looking over the beautiful landscape. Upstairs you will also find the owners suite with an ensuite,  2 additional bedrooms, a full bathroom, laundry space and a half bathroom. In the fully finished basement you will love having 2 additional bedrooms, a family room, home gym, ample storage and an exterior door that leads to your back yard. This acreage also features an oversized double attached garage, large fire pit area, space to park an RV and tons of room to explore!"
8626 159A Avenue,Edmonton,T5Z 3E8,Belle Rive,AB,5,3,3,-1,"$549,900",7121.61,1927,1998,10/7/2021,"Beautiful bi-level in Belle Rive!! This 1927 sqft custom built home features 5 bedrooms, 3 full bath, SECOND KITCHEN in the basement, 2 LAUNDRY ROOMS and IN-FLOOR HEATING both upstairs and basement. Elegantly finished from top to bottom. Upon entering you are greeted with high vaulted ceilings, beautiful tile and hardwood throughout the main level. Main floor has 3 bedrooms and 2 full bath. Massive bright kitchen with tons of cabinets, corner pantry, newer S/S appliances and large dining area leading out to the covered deck and beautiful backyard. Large family room with gas fireplace, perfect space to entertain friends and family. Formal living room with high ceilings. Large windows, offering tons of natural light. Large primary bedroom with walk-in closet and ensuite with jacuzzi tub. 2 additional bdrms, 4-piece bath and laundry. Fully finished basement features newer flooring, massive living room with gas F/P, 2 bdrms, 4-piece bath, Second kitchen, laundry room and storage room. Double attached garage."
37 Highgrove Crescent,Sherwood Park,T8A 6J9,Heritage Hills,AB,4,4,3,1,"$544,800",6350.7,1830,2003,10/7/2021,"Are you looking for the perfect family home?  You have found it...this beautiful property is perfect for your growing family and offers over 2400 sqft of living space.  Quiet crescent location in the sought-after neighborhood of Heritage Hills, this 2 storey home offers 4 bedrooms and 3.5 baths. Features include maple hardwood, large great room adjacent to the kitchen, perfect for entertaining and family gatherings, plus the convenience of main floor laundry.  The upper level offers a generous bonus room with vaulted ceilings, a generous primary bedroom complete with a private ensuite with a corner soaker tub.  Two additional bedrooms complete the upper level.  The basement is fully finished with a fourth extra or guest bedroom, family room, a bathroom complete with in-floor heating, and storage.  More features include central air, a huge no-maintenance deck with a gas BBQ line, and a large beautifully maintained lot. New this year, hotwater tank and 40 YR shingles were just added!"
1413 Rutherford Court,Edmonton,T6W 1H7,Rutherford,AB,4,4,3,1,"$625,000",5606.7,2645,2002,10/7/2021,"This immaculate walk-out home with 2,645 sq ft is well-located in the heart of upscale Rutherford on a beautiful, quiet cul-de-sac. Featuring maintenance-free professionally designed landscaping, stonework, and gathering areas for an ultimate family entertaining experience. 17 ft ceiling provide incredible natural light as seen in the gleaming maple hardwood throughout, welcomed by a grand foyer, formal living + dining room + open staircase + massive maple kitchen with raised granite island completes the main floor. The 2nd level is as impressive with its front open staircase leading to an open BONUS ROOM/LOFT, oversize master BR with jacuzzi tub + shower ensuite with double sinks, small sitting area, with private backyard views. The 2nd level comes complete with 2 more BR and a 4 pc full bath. The lower level is a fully developed walk-out basement which includes a 2nd family room, recreation room, fireplace, 1 bedroom with a full bath. Come view this gorgeous piece of paradise and make this your home."
11908 71 Street,Edmonton,T5B 1W7,Montrose (Edmonton),AB,4,2,2,-1,"$269,000",5125.55,967,1953,10/7/2021,"Welcome to this lovely bungalow In Montrose! This home features Separate basement entrance. 2 Full kitchens and spacious living areas. Upstairs features, 2 large bedrooms, 1 full 4 piece bath and a spacious kitchen. The basement suite features 2 bedrooms 1 full 4 piece bath, With its own KITCHEN ! The large windows on the main floor allow for a lot of natural light to come in. Other upgrades include new flooring to the main floor and as well as the basement. This home also comes with a 2 car detached garage with a perfect sized backyard!"
13903 157 Avenue,Edmonton,T6V 1T2,Carlton,AB,4,3,2,1,"$350,000",-1.0,1404,2003,10/7/2021,"Welcome to the desirable community of Carlton. This fully renovated home offers an open concept main floor with new vinyl plank throughout. The large updated kitchen flows into the main living area with large windows and an abundance of natural light. Finishing off the main level is a 2 piece bathroom with a flex room that could be used for an office, dining room, or separate recreational room for the kids. Upstairs offers 3 very good sized bedrooms including a Primary bedroom with built in storage and a 4 piece ensuite. Another 4 piece bath finishes off the second floor. The basement is partially finished with a living area and Bedroom. Enjoy entertaining in the incredible South facing backyard with a large deck. This bright and welcoming family home is located walking distance from Parks, Schools, Bus, Shopping with quick access to Henday and Yellowhead."
504 Reynalds Wynd,Leduc,T9E 0S8,Robinson,AB,5,4,3,1,"$559,000",5797.97,2322,2015,10/7/2021,"IMAGINE yourself walking in to your spacious 2321 sq.ft. DREAM HOME! Starting off with features like 9ft ceilings, A/C, MAIN FLOOR OFFICE, 2-BED LEGAL SUITE, and more. The open concept floor plan includes a chefs kitchen featuring MAPLE cabinets, GRANITE countertops, STAINLESS STEEL appliances, WALK-THROUGH pantry, and all the counter space you need for prep and entertaining. Not to mention the GRAND dining and living room space complete with a cozy GAS FIREPLACE. The OPEN TO BELOW stairwell leads you up to find the 3 generous bedrooms including the GORGEOUS primary suite with a stunning 4-PIECE ENSUITE and WALK-IN-CLOSET. Head down to the 910 sq.ft 2-BED LEGAL SUITE that has it all! With a gorgeous kitchen featuring BLACK STAINLESS STEEL appliances and QUARTS countertops, thoughtful living/dining space, 2 BEDROOMS, 4 piece bathroom and MODERN finishes. Other fabulous features included: main floor MECHANICAL blinds, HEATED garage, sizeable yard, airport and schools nearby. Come make this house your HOME!"
722 82 Street,Edmonton,T6X 1L8,Ellerslie,AB,3,3,2,1,"$310,000",3465.11,989,2005,10/7/2021,"It is time to own your first home! What better neighbourhood than Ellerslie? Featuring scenic walking paths around the community ponds, a children's spray park, convenient to all shopping & transportation, schools & a strong community league. Located on a quiet bay with a yard with plenty of room for pets & kids to play in and parking pad for future garage. Fully developed home with finished basement is move in ready available immediately!"
3108 152 Avenue,Edmonton,T5Y 0S9,Kirkness,AB,3,3,2,1,"$379,900",2989.35,1508,2013,10/7/2021,"Spacious 1501 sq ft, fully upgraded, 3 bedrooms, 2 & 1/2 bathrooms duplex with double attached garage in family friendly neighborhood of Kirkness.  Bright, spacious, open concept home w/hardwood & tile flooring throughout the main floor.  Kitchen is beautifully upgraded with warm wood tone cabinets, stainless steel appliance including newer, high end Miele dishwasher, designer black & white GRANITE counter tops & glass mosaic backsplash.  Cosy corner gas fireplace in the living room.  Upstairs there is a bonus/flex room, laundry room, 3 spacious bedrooms including a master bedroom w/ full ensuite & walk in closet.   Separate side entrance to the partially finished basement.  Basement finished w/den (with window), rec room, framed in bathroom & utility room.   Just need carpet & bathroom fixtures to complete the basement.  Bonus central air conditioning.  Enjoy the beautifully landscaped backyard w/private 9 x 16 L shaped deck.  Quick access to Anthony Henday, LRT station, shopping & all amenities."
4406 49 Street,Beaumont,T4X 1G5,None,AB,4,3,3,-1,"$399,900",6372.23,1363,1989,10/7/2021,"This family home is sure to please any buyer featuring NEW furnace, NEWER Roof, AC, 4 bedrooms & 3 baths. Charming curb appeal welcomes you in to find a spacious entrance that opens to a living room & formal dining area with vaulted ceilings. Family sized kitchen boasts plenty of cabinets, pantry, NEW stainless steel appliances & island that overlooks the sunny breakfast nook. Moving upstairs, you will LOVE the king sized primary bedroom with walk in closet & UPDATED 4pc ensuite. 2 additional bedrooms are both good sized & 4pc main bath with new vanity. The 3rd level offers an entertaining sized family room with gas fireplace. 4th bedroom, 3pc bath & laundry compliment the space. The lower 4th level is fully finished & offers a rec room & plenty of storage space. ENJOY the fully fenced & landscaped WEST yard surrounded by mature trees, all just steps away from parks, trails, schools and shopping."
17206 60 Avenue,Edmonton,T6M 1E3,Gariepy,AB,3,2,1,1,"$319,000",3993.51,1326,1979,10/7/2021,"This Home has a New Deck, New Fence, New Basement Finishing, and more. Great location with everything close by, Schools, Church, Mosque, Shopping, Parks, River, Walking Trails and all the Services. Very Spacious Half Duplex with Front Attached Garage, Extended Driveway, and lots of Parking all Around. Vaulted Ceilings, 2 Story High Living Room with Impressive Stone Facing Fireplace. Traditional Dining Room that easy could be transform into a Flex Room, Bedroom, Office, Playroom etc. The Generous Size Kitchen that has a Sliding Door giving access to the Deck and to the Yard. 3 Good Size Bedrooms on the 2nd floor, Renovated Full Bathroom. In the Basement your will find a Large Family Room, and office Space and a Laundry Space. No condo fees. This home has much to offer."
 Address Withheld,Fort Saskatchewan,T8L 0W6,Westpark_Fsas,AB,4,3,2,1,"$468,800",-1.0,1788,2021,10/7/2021,"Brand new in the scenic subdivision of Windsor Pointe. Walking distance to our beautiful River Valley recreational area, including dog park, family fishing hole with club house, boat launch and vast walking and bicycle trail system. This is a straight up two storey so the main floor is very open and spacious. 9' main floor and basement ceiling. Soft close kitchen cabinets. Family island. Vinyl plank and ceramic tile flooring. Granite counter tops through out. Three bathrooms. Three bedrooms. Main floor den. Upper level laundry room. Comes with 26' x 28' OVERSIZED GARAGE/ WORKSHOP. All this in a quite family cul-de-sac with no through road. To see the finishing products visit the Super Homes Show Home at 558 Meadowview Drive, Fort Saskatchewan Southfort Meadows"
8961 96 Avenue,Fort Saskatchewan,T8L 1E3,Pineview Fort Sask.,AB,4,3,2,1,"$436,900",6266.74,1358,1973,10/7/2021,"Visit REALTOR  website for additional information. Stunning fully renovated, open concept bungalow backing onto green space with walking trails, outdoor rink, tennis, ball diamonds,  multiple schools and kids playgrounds. 3 beds up and 1 bed plus a den in the finished basement.  The 2.5 bathrooms are all new with beautiful modern finishings and lighting.  Brand new kitchen has a quartz countertop for food prep, stove in the island with beautiful range hood, great pantry and loads of storage.  Dining room and sunken living room are separated by a gorgeous matte black, welded railing that keeps everything open-concept while providing a bit of an industrial flair to compliment the concrete hearth on the fireplace.  To add to all of this the home has a beautiful sitting room off of the principal bedroom and a 26'x24' detached garage that has natural gas and electrical hook-ups for heat."
21835 97 Avenue,Edmonton,T5T 4H6,Secord,AB,4,4,3,1,"$484,900",4045.07,1865,2012,10/7/2021,"This FULLY FINISHED 2-storey home featuring 4 bedrooms, 4 baths, huge BONUS room & central A/C truly shows a 10+. The OPEN CONCEPT plan provides the perfect place for both family time & entertaining. Social living room with a cozy fireplace, a warm kitchen with cognac maple shaker cabinets that extend to the ceiling complimented by stainless steel appliances, QUARTZ countertops and a corner pantry. A sun filled spacious dining nook leads to your oversized deck with pergola is the perfect match to your large fenced yard backing a lane for extra privacy and access. Upstairs to the three spacious bedrooms and the bright BONUS room with huge windows. The master suite features a walk-in closet and a 4-pc spa retreat ensuite with both a deep soaker tub & separate shower. Another full bath completes this floor. The basement is complete with a rec/theatre room, wet bar, bedroom, 4-pc bath and utility/storage space. Top it all off with the double attached garage and it's exactly what you've been looking for!"
5013 48 Avenue,Thorsby,T0C 2P0,Thorsby,AB,3,2,2,-1,"$175,900",-1.0,836,1959,10/7/2021,"Perfect home for first time home buyers or for someone wanting to downsize. This cute & cozy 835 sq. ft. bungalow is very well maintained. Single detached garage with front drive access. Two good size bedrooms on the main level and one in the basement. The kitchen has ample cabinets, window over double sink and dinette with window. The large living room is great for entertaining. Four piece bathroom completes the main level. The basement is finished and includes a huge recreation room, third bedroom, laundry, furnace room and three piece bathroom. Lovely landscaping. Storage shed stays. Gazebo. Newer furnace and hot water tank in 2011. Shingles were replaced in 2008."
13107 133 Street,Edmonton,T5L 1T2,Athlone,AB,3,1,1,-1,"$285,900",5951.25,986,1956,10/7/2021,"Welcome to your new home in the quiet & desirable neighborhood of Athlone. Surrounded by schools and parks, this location is a short 5-minute drive to the Skyview shopping center, Yellowhead trail, and only 15 minutes to the Henday or downtown. The location can't be beat! The home sits on a large lot allowing for big yards, a heated double detached garage, RV parking, and still has plenty of space for a nice lawn, deck, garden, and your new apple tree! This 3 bed, 1 bath, bungalow has no stairs and was very well taken care of. Upgrades include new concrete pad for the garage, new garage door, electrical panel, attic and wall insulation, some windows, main bath, and the list goes on. You will not find a more well taken care of home in this area. This home has it all and is a must see!"
418 2nd Avenue,Bruce,T0B 0R0,Bruce,AB,3,2,1,1,"$252,250",-1.0,1433,1979,10/7/2021,"Immaculate first owner house on 4 lots in the hamlet of Bruce, Alberta.  Pride of ownership shows throughout.  This property has in town services with acreage feel.  Outside features 26 x 28 ' heated garage with new cement, large garden, immaculate landscaping, 2 sheds, and  large decks.  Inside shows like new!  Hardwood floors, main floor laundry, new lino, laminate, newer vinyl windows, hot water tank (2017), custom kitchen, stainless steel appliances, gas fire place, central vac and jetted tub.  No basement, large crawl space, perfect retirement home!"
1309 76 St,Edmonton,T6X 1M9,Summerside,AB,2,2,1,1,"$299,900",2667.4,1203,2005,10/7/2021,"Welcome to Lake Summerside!! This bright and beautiful 2 Bedroom Half Duplex in Summerside has everything you need. On the main floor enjoy the open plan living with a large eat in kitchen. Enjoy dinners in your cozy dining area, next to the living room with tons of natural light coming from all sides. The rear door, just off the kitchen, opens out onto a  fully fenced yard with a spacious large deck which is perfect for entertaining. Upstairs you'll find 2 spacious bedrooms with large windows and the master has a large walk in closet. Finishing off the upstairs is a nice secondary bonus room/den and 4 pce bathroom. A double parking pad provides room for two vehicles and the possibility for a future double garage. This home is within walking distance to enjoy the benefits of Lake Summerside with Beach-club access. Come enjoy everything Lake Summerside has to offer"
14215 74 Street,Edmonton,T5C 0Y1,Kildare,AB,4,2,1,1,"$298,800",5997.32,1236,1967,10/7/2021,"Golden opportunity on this Good Bones Home with all the heavy lifting already done, with updated, Windows, Front & Back Doors, Shingles, Furnace, Central A/C, HWT, Vinyl Siding with added Insulation. The main floor features an open kitchen & dining area with ample storage & work space. The spacious living room overlooks the front street & features newer flooring. The primary bedroom overlooks the large back yard and also offers good closest space & a convenient 2 piece en-suite bath. There are 2 more spacious bedrooms on the main floor along with an 4 piece bath that is in good condition. The lower level is partly developed with an extra bedroom & family room area that is not fully finished.  The home is situated on a 50'x120' lot with an east west exposure giving ample natural light. The lot is fully fenced and landscaped with a single detached garage & parking for a number of vehicles. Ideal location within walking distance to several schools, playgrounds, parks, recreation center and Londonderry Mall."
14358 Park Drive,Edmonton,T5R 5V2,Parkview,AB,4,5,4,1,"$2,700,000",6713.55,3522,2020,10/7/2021,"Park Drive .one of the most prestigious locations in YEG & the best location on the Drive   facing a park & backing onto Mackenzie Ravine!  This architecturally designed home is simply fabulous   Imagine a Modern California styled home (Manhattan Beach inspired), mixed with a Vancouver bright & airy feel - Now open your eyes & see this house here in Edmonton! Beautifully designed with just over 4427sqft of finished living space - 4 bedrooms + Den + upper lounge with south facing balcony, 4.5 bathrooms   large indoor & outdoor living spaces, walk-out basement & 4 car ATTACHED GARAGE!  The home offers open-concept interiors, floating staircases & expansive walls of windows on each floor   the fit & finish is like no other. Each space has been thoughtfully designed to maximize the views from every point in the home.  From the chefs kitchen that includes state-of-the-art appliances to the family entertaining spaces on every level. With no expense spared or amenity forgotten, this home is sure to impress!"
14248 25 Street,Edmonton,T5Y 1G5,Bannerman,AB,4,3,2,1,"$338,888",5738.45,1083,1978,10/7/2021,"Awesome unique Family home in the quiet mature Community of Bannerman. 2165 Sq ft of finished living space, 4 bedrooms, 2.5 baths, 2 fireplaces one wood, one gas. Great kitchen with lots of counter space and plenty of cupboards Newer Fridge, New Dishwasher. INLAW SIUTE IN THE BASEMENT WITH SEPARATE ENTRANCE. NEW HOT WATER TANK, NEW FURNACE 2017, NEW SHINGLES 2021. WINDOWS 2015,  OVERSIZED DOUBLE DETACHED HEATED, INSULATED GARAGE WITH NEW SHINGLES 2020. Private fenced , landscaped yard.GREAT CURB APPEAL.  Close to great Schools, Shopping, parks and walking trails. Easy access to The Hendy."
207 Riverview Way,Rural Sturgeon County,T8T 1S6,River's Gate,AB,4,6,6,-1,"$2,399,000",-1.0,4636,2016,10/7/2021,"PANORAMIC RIVER VALLEY VIEWS in RIVER'S GATE STURGEON VALLEY'S ONLY GATED COMMUNITY. Crafted to take advantage of it's spectacular location this 4636 sq ft custom built walkout, 6 bedroom, great room 2 storey with fully finished basement showcases 7,000 sq ft of LUXURIOUS CONTEMPORARY LIVING SPACE. Upon entering you are greeted by soaring ceilings, banks of windows & the sundrenched great room. The features include custom millwork throughout, (Main) gourmet quartz kitchen with professional series appliances & massive island & walk-in pantry, office, bedroom with ensuite, great room with floor to ceiling marble feature wall fireplace, huge dining nook leading to wrap around decks, 3 piece bath, large mudroom leading to your oversized 3/4 car garage. (Upper) Gorgeous walkways, spectacular master bedroom with incredible steam shower ensuite, dressing room & private balcony, 2 additional large bedrooms with ensuites. (Lower) Gorgeous Rec Room, Theater room, 2 bedrooms & a den. STUNNING DETAILING-A MUST SEE!"
8504 60 Street,Edmonton,T6B 1M6,Kenilworth,AB,3,2,2,-1,"$364,900",5850.72,998,1964,10/7/2021,"What are you waiting for? This corner lot bungalow in Kenilworth is ideal for first-time buyers, investors (with entrances from the front of the house), those looking to downsize or even as a lot. Did we mention the attached oversized single garage?  On the main level, you will discover 2 spacious bedrooms, 1 updated bathroom and the kitchen and living room. While on the lower level, you have a second sitting room, bedroom and beautifully upgraded bathroom with a walk-in shower. Located on a quiet street it is within walking distance to cole Sainte-Jeanne-d'Arc and is close to 82 Avenue, 75 Street and 50th Street. The community also features a fantastic outdoor ice rink and 2 playgrounds complete with one having a spray park. Quick convenience to downtown or the south side, makes this an ideal neighbourhood to call home. Move-in ready or upgrade to make it your home, this home boasts a lot of great attributes. Well maintained and cared for, you will be impressed with how well it shows in person."
12044 92 Street,Edmonton,T5G 1A9,Alberta Avenue,AB,5,3,3,-1,"$459,900",4441.4,1078,2017,10/7/2021,"LEGAL SUITE!! Subsidize your income by renting out the basement and live upstairs. This home has been fully finished with a legal basement suite. Perfect for investors, first time home buyers or someone looking to share the expenses while having your own space. This 2+2 bi-level has been upgraded from top to bottom with high end vinyl plank flooring throughout, tile in the entry ways and bathrooms and stainless steel appliances. Upstairs you will notice the large 2 bedrooms and 2 4 piece bathrooms. The laundry room is massive and could also be used as a office or den. Downstairs there is 2 more bedrooms and a den. In the back yard you will notice a oversized double garage. Start Packing!!"
3512 41B Avenue,Edmonton,T6L 5E6,Kiniski Gardens,AB,3,2,1,1,"$299,900",3466.19,1240,1981,10/7/2021,"This immaculate 3 bedroom, 1.5 bathroom home has been lovingly maintained by the same owners for more than 30 years! The living room is filled with natural light and gleaming hardwood spans the large living room & formal dining area. The spacious eat-in kitchen boasts ample counter and cupboard space. Upstairs, the 3 bedrooms are amply sized and ideal for families. Head downstairs and you will find a large family room. This well designed basement also provides space for an additional bedroom or a huge storage/laundry room with newer high end washer and dryer. The patio doors open up to the deck and low maintenance yard. Use the expansive parking pad or build your dream double garage! This home is conveniently located, close to shopping, schools, parks,  the Meadows Rec Center and Library. It is located in a cul-du-sac with no thoroughfare traffic but still offers close access to the Whitemud and 34th Street. Updates include: NEWER VINYL WINDOWS *Virtual staging used in some photos*"
74 53103 Rge Rd 14,Rural Parkland County,T7Y 2T3,Hubbles Lake,AB,5,4,3,1,"$850,000",-1.0,2036,2012,10/7/2021,"Minutes west of Stony Plain all on pavement, in the community of Hubbles Lake you will find this stunning, executive and luxurious WALKOUT BUNGALOW with MASSIVE 50x27, heated, triple car garage with drain, fenced and cross fenced for horses on 2.96 acres. Attention to detail was in mind with this very thoughtful layout encompassing over 3800sqft of living space, 5 bedrooms, 3.5 baths, flex room which can be used for an office, playroom, gym and tons of storage space. Bright, spacious and open concept has 10ft ceilings throughout and 12ft coffered ceilings in the living room and primary bedroom with recessed lighting. Exterior acrylic stucco, triple pane windows, engineered hardwood flooring throughout the main floor accompanied by heated, ceramic tile in the washrooms, granite countertops throughout and Nuevo surround sound. Kitchen has large centre island, induction cooktop stove, walk in pantry and garden door to partially covered deck. Primary bedroom has W/I closet and 4pce ensuite with steam shower."
7921 96 Avenue,Fort Saskatchewan,T8L 3G5,Pineview Fort Sask.,AB,5,3,2,1,"$359,900",11373.89,1193,1978,10/7/2021,"In growing Fort Saskatchewan this 1193 sq. ft 3+2 bedroom bi-level is located in a cul de sac a short walk to James Mowat School. The home's main floor features a spacious living room adjoined by the formal dining room a few steps to your kitchen .There are plenty of cupboards & counter space in this oak country kitchen with a sunshine ceiling. The back door is just off the kitchen to your deck, perfect for coffee as you look over the massive backyard.  Four piece bathroom with renovated tub & shower enclosure, two additional good sized bedrooms with the primary bedroom facing the backyard & a 2 piece ensuite complete this level. The lower level has two more good sized bedrooms, 3 piece bathroom and recreation room. The laundry area & utility room provide additional storage plus another entrance from the basement to your backyard. Mature landscaping compliments the front and back yards & garden area is fenced off for growing those vegetables. Lets not forget the newer vinyl windows. A perfect family home."
713 Blackwood Crescent,Edmonton,T6W 1B3,Blackburne,AB,5,4,3,1,"$659,900",11187.67,2173,1993,10/8/2021,"BACKING ONTO BLACKMUD CREEK RAVINE, this SPECTULAR 2 story home is located in the community of Blackburn offering 5 bedrooms, 3.5 bathrooms, 9ft ceilings & plenty of natural light. The main floor features a formal dining area, an office space with built-in shelving, a warm & inviting fireplace in the living room & a kitchen that boast Italian Natural stone flooring, high end appliances including a Sub-Zero fridge, wine fridge, induction cook top, built in oven, stunning CUSTOM cabinets, GRANITEcountertops & large island ideal for entertaining.  Sliding doors take you out to a covered deck, bringing you to a  BACKYARD OASIS. The yard is beautifully landscaped with mature trees, a large pond, 2 streams & fire pit. Upstairs you will find 4 generous sized BEDROOMS & 4pc bathroom. The oversized primary bedroom offers a 4pc ensuite & large walk-in closet. The basement has cork flooring, large family room, fireplace, additional bedroom, 4pc bathroom with steam shower/jetted tub & plenty of storage."
43 Groveland Road,Sherwood Park,T8A 3G7,Glen Allan,AB,4,3,3,-1,"$429,900",7319.45,1221,1973,10/7/2021,"Welcome to this 1221 sqft bungalow located in the sought after neighbourhood of Glen Allan. This home features a great layout with 3 bedrooms up, a primary bedroom with a 4PC ENSUITE w/ a JACUZZI TUB, spacious bedrooms, formal dining area and living room with a WOOD BURNING FIREPLACE (recently had its wet inspection completed). Downstairs features a 3pc bath, a 4th bedroom, and office/den and a large open rec room. A good sized laundry room with its own sink. Outside features NEW CONCRETE DRIVEWAY & PATIO, a beautiful backyard with a fireplace. Oversized 26x24 garage is lots of room for parking and work benches/storage. Notable updates include HWT 2020, roof and Furnace last 10 years, some newer windows, upgraded plumbing and electrical and the gas line is already ran to the garage for a heater plus a natural gas hook up for your BBQ!"
196 Bremner Crescent,Fort Saskatchewan,T8L 0J7,South Fort,AB,4,4,3,1,"$529,987",4360.03,2027,2011,10/7/2021,"Stunning walkout home with fully finished basement backing on to green space and pond, located in SouthPointe close to the new SouthPointe School. Over 2000 sq ft plus the fully finished basement. This beauty offers granite countertops, ceramic tile flooring, and hardwood floors. The main floor has open to the 2nd floor ceiling in the front entrance, main floor laundry, open kitchen/dining/great room. The raised deck off the kitchen over looks the gorgeous views of the pond, green space and walk trails. The upstairs has three large bedrooms, and a bonus room. The primary bedroom 5 piece ensuite is massive. Large bonus room for the kids to hang out in. The basement comes with a bedroom, bathroom and great room. The walk out is south facing so lots of sun overlooking the pond, green space, and walking trail."
