rank,restaurant_name,emailaddress,phone_number,address,zipcode,website,yellowpages_rating,yellowpages_review_count,tripadvisor_rating,tripadvisor_review_count,cuisine1,cuisine2,cuisine3,cuisine
76,Calvary Lutheran Church,mayfieldlutherans@gmail.com,(440) 845-0070,"6906 W Pleasant Valley Rd,Cleveland,OH",44129,http://www.calvaryparma.org/home.html,5,1,,,Lutheran Churches,Churches & Places of Worship,,"Lutheran Churches,Churches & Places of Worship"
77,Edinburg United Church,,(330) 325-1532,"4081 Rock Spring Rd,Ravenna,OH",44266,https://www.edinburgunitedchurch.org,5,1,,,United Church of Christ,Church of Christ,Churches & Places of Worship,"United Church of Christ,Church of Christ,Churches & Places of Worship"
78,Western Reserve Christian Church,,(330) 650-1242,"516 W Streetsboro St,Hudson,OH",44236,https://www.wrccdisciples.org,5,1,,,Christian Churches,Churches & Places of Worship,Disciples of Christ Churches,"Christian Churches,Churches & Places of Worship,Disciples of Christ Churches"
79,Cornerstone Friends Church,,(440) 428-6868,"2300 Hubbard Rd,Madison,OH",44057,http://www.cfcmadison.org,5,1,,,Christian Churches,Churches & Places of Worship,Religious Organizations,"Christian Churches,Churches & Places of Worship,Religious Organizations"
80,New Hope Community Church,info@newhope.rocks,(419) 994-1112,"637 N Market St,Loudonville,OH",44842,http://newhope.rocks,5,1,,,Christian Churches,Churches & Places of Worship,Evangelical Covenant Churches,"Christian Churches,Churches & Places of Worship,Evangelical Covenant Churches"
81,Heritage Baptist Church,,(614) 837-6772,"470 Groveport Pike,Canal Winchester,OH",43110,http://www.hbcministries.com,5,1,,,Alcoholism Information & Treatment Centers,Baptist Churches,General Baptist Churches,"Alcoholism Information & Treatment Centers,Baptist Churches,General Baptist Churches,Independent Baptist Churches"
82,"Our  Lady Of Lourdes Shrine ,Euclid",srg@srstrinity.com,(216) 586-3905,"21281 Chardon Rd,Euclid,OH",44117,http://srstrinity.com,5,1,,,Churches & Places of Worship,Musical Instruments,Pianos & Organs,"Churches & Places of Worship,Musical Instruments,Pianos & Organs,Religious Goods"
83,Old Oak Bible Church,oldoak@eircom.net,(440) 243-5820,"7575 Old Oak Blvd,Cleveland,OH",44130,http://www.oldoakbiblechurch.org,5,1,,,Churches & Places of Worship,Banquet Halls & Reception Facilities,Child Care,"Churches & Places of Worship,Banquet Halls & Reception Facilities,Child Care,Day Care Centers & Nurseries,Halls,Auditoriums & Ballrooms,Independent Churches,Non-Denominational Churches,Theatres,Wedding Chapels & Ceremonies,Wedding Supplies & Services"
84,Alkire Road Church of Christ,shalzarr1@yahoo.com,(614) 875-1028,"2779 Alkire Rd,Grove City,OH",43123,http://alkirechurchofchrist.com,5,1,,,Church of Christ,Churches & Places of Worship,Religious Counseling,"Church of Christ,Churches & Places of Worship,Religious Counseling"
85,Church of Christ Groesbeck,lnisle@pmt.org,(513) 385-1544,"8209 Chesswood Dr,Cincinnati,OH",45239,,5,1,,,Church of Christ,Churches & Places of Worship,,"Church of Christ,Churches & Places of Worship"
86,Van-Huber Church of Christ,bgleim@att.net,(937) 898-6263,"626 W National Rd,Vandalia,OH",45377,http://vanhuber.com,5,1,,,Church of Christ,Churches & Places of Worship,New Testament Church of Christ,"Church of Christ,Churches & Places of Worship,New Testament Church of Christ"
87,Knox Presbyterian Church,,(513) 321-2573,"3400 Michigan Ave,Cincinnati,OH",45208,https://www.knox.org,5,1,,,Presbyterian Churches,Churches & Places of Worship,,"Presbyterian Churches,Churches & Places of Worship"
88,Shiloh Church UCC,jaymcmillen@shiloh.org,(937) 277-8953,"5300 Philadelphia Dr,Dayton,OH",45415,http://www.shiloh.org,5,1,,,United Church of Christ,Church of Christ,Churches & Places of Worship,"United Church of Christ,Church of Christ,Churches & Places of Worship"
89,Orchard Hill United Church of Christ,whitneyk@ucc.org,(740) 772-4235,"105 N Courtland Dr,Chillicothe,OH",45601,http://www.orchardhillucc.org,5,1,,,Church of Christ,Churches & Places of Worship,United Church of Christ,"Church of Christ,Churches & Places of Worship,United Church of Christ"
90,Heritage Memorial Church,,(740) 335-1079,"1867 Us Highway 35 NW,Washington Court House,OH",43160,http://www.heritagewch.com,5,1,,,Church of Christ,Churches & Places of Worship,Religious Organizations,"Church of Christ,Churches & Places of Worship,Religious Organizations"
241,Pentecostal Community Church,pastorcop12@aol.com,(440) 293-6182,"5348 Peck Rd,Jefferson,OH",44047,http://pentecostalcc.org,5,1,,,Pentecostal Churches,Churches & Places of Worship,Religious Organizations,"Pentecostal Churches,Churches & Places of Worship,Religious Organizations"
242,Temple Of Praise seventh day,,(216) 531-9268,"1985 Green Rd,Cleveland,OH",44121,http://www.adventist.org,5,1,,,Seventh-day Adventist Churches,Churches & Places of Worship,,"Seventh-day Adventist Churches,Churches & Places of Worship"
243,Connection Church,info@connectionchurch.org,(330) 461-3964,"2524 Medina Rd Ste 300,Medina,OH",44256,http://www.connectionchurch.org,5,1,,,Churches & Places of Worship,,,Churches & Places of Worship
244,St Luke Overcoming Apostolic Church,,(216) 441-6415,"7919 Kinsman Rd,Cleveland,OH",44104,,5,1,,,Pentecostal Churches,Churches & Places of Worship,Religious Organizations,"Pentecostal Churches,Churches & Places of Worship,Religious Organizations"
245,Peaceful Children Montessori,,(440) 256-1976,"8100 Eagle Rd,Willoughby,OH",44094,,5,1,,,Churches & Places of Worship,,,Churches & Places of Worship
246,New Life Church & Academy,announcements@newlifeinchrist.net,(440) 259-3850,"4080 Call Rd,Perry,OH",44081,http://www.newlifeinchrist.com,5,1,,,Non-Denominational Churches,Churches & Places of Worship,Preschools & Kindergarten,"Non-Denominational Churches,Churches & Places of Worship,Preschools & Kindergarten,Private Schools (K-12),Schools"
247,The Sanctuary,dockeryjim@visitthesanctuary.org,(234) 312-9059,"1624 Northmoreland Blvd,Cuyahoga Falls,OH",44221,http://www.thesanctuaryohio.org,5,1,,,Religious Organizations,Churches & Places of Worship,,"Religious Organizations,Churches & Places of Worship"
248,Celebration Church,ccakron@ccakron.org,(330) 762-7458,"688 Dan St,Akron,OH",44310,http://www.ccakron.org,5,1,,,Churches & Places of Worship,Assemblies of God Churches,Pentecostal Churches,"Churches & Places of Worship,Assemblies of God Churches,Pentecostal Churches"
249,Family Fellowship Foursquare,info@familyfellowship.net,(440) 988-2866,"780 Cooper Foster Park Rd,Amherst,OH",44001,http://familyfellowship.net,5,1,,,Foursquare Gospel Churches,Churches & Places of Worship,,"Foursquare Gospel Churches,Churches & Places of Worship"
250,Abundant Grace Ministries,info@agmnow.info,(330) 966-5779,"11776 Cleveland Ave NW,Uniontown,OH",44685,http://www.agmnow.info,5,1,,,Churches & Places of Worship,Evangelical Churches,Religious Organizations,"Churches & Places of Worship,Evangelical Churches,Religious Organizations"
251,Plus Or Minus 60 of the New,,(330) 875-7181,"5716 Louisville St,Louisville,OH",44641,https://www.hazenministries.com/plus-or-minus-60,5,1,,,Churches & Places of Worship,,,Churches & Places of Worship
252,Midvale Church Of God Parsonage,,(330) 339-4533,"4577 Broadway St,Midvale,OH",44653,,5,1,,,Pentecostal Church of God,Church of God,Churches & Places of Worship,"Pentecostal Church of God,Church of God,Churches & Places of Worship"
253,House of Healing Ibelieve,info@houseofhealing.org,(440) 284-2896,"417 Mussey Ave,Elyria,OH",44035,http://www.houseofhealing.org,5,1,,,Religious Organizations,Churches & Places of Worship,,"Religious Organizations,Churches & Places of Worship"
254,New Vision New Day Ministries,,(330) 788-7740,"1970 Everett Ave,Youngstown,OH",44514,http://newvisionnewday.org,5,1,,,Churches & Places of Worship,Evangelical Churches,Religious Organizations,"Churches & Places of Worship,Evangelical Churches,Religious Organizations"
255,His Place 4-U Ministries,hisplace4u@cfaith.com,(330) 478-3099,"1330 Whipple Ave NW,Canton,OH",44708,http://hisplace4u.com,5,1,,,Churches & Places of Worship,Pentecostal Churches,,"Churches & Places of Worship,Pentecostal Churches"
256,Pals Pre-School,cpce@sssnet.com,(330) 832-7455,"47 2nd St NE,Massillon,OH",44646,http://massilloncpc.com,5,1,,,Churches & Places of Worship,,,Churches & Places of Worship
257,Furnace Street Mission,,(330) 376-0091,"150 Furnace St,Akron,OH",44304,,5,1,,,Evangelical Covenant Churches,Churches & Places of Worship,,"Evangelical Covenant Churches,Churches & Places of Worship"
258,Fowler United Methodist Church & Parsonage,,(330) 638-5775,"3426 Youngstown Kingsville Rd,Fowler,OH",44418,,5,1,,,Churches & Places of Worship,,,Churches & Places of Worship
259,Sebring Church of the Nazarene,communications@nazarene.org,(330) 938-2629,"626 W Maryland Ave,Sebring,OH",44672,http://nazarene.org,5,1,,,Church of the Nazarene,Churches & Places of Worship,Religious General Interest Schools,"Church of the Nazarene,Churches & Places of Worship,Religious General Interest Schools"
260,Reality Outreach Ministries,,(330) 486-0773,"2112 Case Pkwy Ste 8,Twinsburg,OH",44087,http://www.realityoutreach.org,5,1,,,Religious Organizations,Churches & Places of Worship,,"Religious Organizations,Churches & Places of Worship"
261,Harvest Time Evangelistic Ministries,,(216) 431-0179,"2350 E 79th St,Cleveland,OH",44104,https://www.htemch.org,5,1,,,Churches & Places of Worship,Evangelical Churches,,"Churches & Places of Worship,Evangelical Churches"
262,Point Of Mercy,,(330) 368-8803,"13362 State Route 7,Lisbon,OH",44432,,5,1,,,Pentecostal Churches,Apostolic Churches,Churches & Places of Worship,"Pentecostal Churches,Apostolic Churches,Churches & Places of Worship"
263,Cathedral Of Life,,(330) 493-4111,"4111 38th St NW,Canton,OH",44718,http://www.cathedraloflife.org,5,1,,,Non-Denominational Churches,Churches & Places of Worship,,"Non-Denominational Churches,Churches & Places of Worship"
264,Mount Vernon Congregation of Jehovah's Witnesses,,(740) 392-7932,"189 Mansfield Ave,Mount Vernon,OH",43050,http://jw.org,,,,,Churches & Places of Worship,,,Churches & Places of Worship
265,Church of the Nazarene,gensec@nazarene.org,(330) 872-5432,"520 N Canal St,Newton Falls,OH",44444,http://www.nazarene.org,5,1,,,Church of the Nazarene,Churches & Places of Worship,,"Church of the Nazarene,Churches & Places of Worship"
266,Calvary Apostolic Church,,(330) 848-5757,"2693 Nesbitt Ave,Akron,OH",44319,http://www.churchofakron.org,5,1,,,Apostolic Churches,Churches & Places of Worship,,"Apostolic Churches,Churches & Places of Worship"
267,Stonebrook Montessori,,(216) 644-3012,"975 East Blvd,Cleveland,OH",44108,http://stonebrookmontessori.org,5,1,,,Churches & Places of Worship,Charter Schools,Child Care,"Churches & Places of Worship,Charter Schools,Child Care,Educational Services,Elementary Schools,Preschools & Kindergarten,Public Schools,Schools,Special Education"
268,Philadelphia Church / Iglesia Filadelfia,pastorvizcarrondo@live.com,(216) 920-8881,"3510 Broadview Rd,Cleveland,OH",44109,http://www.ipmfohio.org,5,1,,,Missionary Churches,Churches & Places of Worship,Independent Pentecostal Churches,"Missionary Churches,Churches & Places of Worship,Independent Pentecostal Churches,Religious Organizations"
269,Woodlawn Church,,(330) 477-7271,"2800 Woodlawn Ave NW,Canton,OH",44708,http://www.woodlawnonline.com,5,1,,,Churches & Places of Worship,,,Churches & Places of Worship
270,Iglesia Pentecostal Avivamiento Final,,(440) 296-9501,"4065 Broadway,Lorain,OH",44052,http://www.avivamientofinal.com,5,1,,,Religious Organizations,Churches & Places of Worship,Holiness Pentecostal Churches,"Religious Organizations,Churches & Places of Worship,Holiness Pentecostal Churches,Pentecostal Church of God"
181,Union Baptist Church,,(513) 381-3858,"405 W 7th St,Cincinnati,OH",45203,http://www.union-baptist.net,5,1,,,Baptist Churches,Churches & Places of Worship,Religious Organizations,"Baptist Churches,Churches & Places of Worship,Religious Organizations"
182,Fairview Free Will Baptist Church,,(740) 892-4114,"15271 Vance Rd,Mount Vernon,OH",43050,,5,1,,,Baptist Churches,Churches & Places of Worship,,"Baptist Churches,Churches & Places of Worship"
183,Green Valley Southern Baptist Church,gvsbcpastor@gmail.com,(740) 393-3922,"1680 Old Delaware Rd,Mount Vernon,OH",43050,http://www.deskexercisebike.com,5,1,,,Baptist Churches,Churches & Places of Worship,,"Baptist Churches,Churches & Places of Worship"
184,Arrowbrook Baptist Church,mmgooding@yahoo.com,(937) 372-5361,"1124 Upper Bellbrook Rd,Xenia,OH",45385,http://abrook.org,5,1,,,Baptist Churches,Churches & Places of Worship,,"Baptist Churches,Churches & Places of Worship"
185,Enterprise Baptist Youth Camp,,(740) 367-9387,"1560 Nibert Rd,Gallipolis,OH",45631,,5,1,,,Baptist Churches,Churches & Places of Worship,Religious Organizations,"Baptist Churches,Churches & Places of Worship,Religious Organizations"
186,First Baptist Church,,(440) 234-1703,"572 Pearl St,Berea,OH",44017,,5,1,,,Baptist Churches,Churches & Places of Worship,,"Baptist Churches,Churches & Places of Worship"
187,Calvary Baptist Church,,(740) 962-4849,"170 Church Dr,Mcconnelsville,OH",43756,http://www.cbcrew.com,5,1,,,Baptist Churches,Churches & Places of Worship,,"Baptist Churches,Churches & Places of Worship"
188,Shroyer Road Baptist Church,,(937) 298-9531,"508 Shroyer Rd,Dayton,OH",45419,http://www.shroyerchurch.org,5,1,,,Baptist Churches,Churches & Places of Worship,,"Baptist Churches,Churches & Places of Worship"
189,Faith Baptist Church,info@fbc-beavercreek.org,(937) 426-6480,"4215 Indian Ripple Rd,Beavercreek,OH",45440,http://www.fbc-beavercreek.org,,,,,Baptist Churches,Churches & Places of Worship,Independent Baptist Churches,"Baptist Churches,Churches & Places of Worship,Independent Baptist Churches"
190,Waverly Baptist Temple,wbtladiesretreat@yahoo.com,(740) 947-2870,"7498 State Route 220,Waverly,OH",45690,http://www.waverlybaptisttemple.com,5,1,,,Baptist Churches,Churches & Places of Worship,,"Baptist Churches,Churches & Places of Worship"
191,North Linden Baptist Church S B C,,(614) 267-1790,"1783 Melrose Ave,Columbus,OH",43224,,5,1,,,Baptist Churches,Churches & Places of Worship,,"Baptist Churches,Churches & Places of Worship"
192,Dresden Road Baptist Church,,(740) 452-1264,"3440 Dresden Rd,Zanesville,OH",43701,,5,1,,,Baptist Churches,Churches & Places of Worship,,"Baptist Churches,Churches & Places of Worship"
193,Moraine Heights Baptist Church,mhbc@moraineheights.org,(937) 434-6658,"5661 Munger Rd,Dayton,OH",45459,https://www.moraineheights.org,5,1,,,Independent Baptist Churches,Baptist Churches,Churches & Places of Worship,"Independent Baptist Churches,Baptist Churches,Churches & Places of Worship,Religious Organizations"
194,Goodwill Baptist Church,,(614) 258-4722,"806 Taylor Ave,Columbus,OH",43219,,5,1,,,Baptist Churches,Churches & Places of Worship,,"Baptist Churches,Churches & Places of Worship"
195,First Baptist Church Of Belpre,,(740) 423-7480,"500 Beach Dr,Belpre,OH",45714,,5,1,,,Baptist Churches,Churches & Places of Worship,,"Baptist Churches,Churches & Places of Worship"
196,Diamond Hills Baptist Church,hkinnick@diamondhillsautogroup.com,(419) 524-4761,"647 S Diamond St,Mansfield,OH",44907,http://www.diamondhills.org,5,1,,,Baptist Churches,Churches & Places of Worship,,"Baptist Churches,Churches & Places of Worship"
197,Linworth Baptist Church,,(614) 844-4477,"6200 Linworth Rd,Worthington,OH",43085,http://www.linworthbaptist.org,5,1,,,Baptist Churches,Churches & Places of Worship,,"Baptist Churches,Churches & Places of Worship"
198,Corner Stone Baptist Temple,staff@cbtministries.org,(937) 253-6151,"1707 Ohmer Ave,Dayton,OH",45410,http://www.cbtministries.org,5,1,,,Baptist Churches,Churches & Places of Worship,Religious Organizations,"Baptist Churches,Churches & Places of Worship,Religious Organizations"
199,Harmony Hill Baptist Church,,(740) 865-3835,"41051 Trail Run Rd,New Matamoras,OH",45767,http://www.harmonyhillbaptist.org,5,1,,,Baptist Churches,Churches & Places of Worship,,"Baptist Churches,Churches & Places of Worship"
200,Second Baptist Church,,(937) 323-7038,"615 S Wittenberg Ave,Springfield,OH",45506,,5,1,,,Baptist Churches,Churches & Places of Worship,,"Baptist Churches,Churches & Places of Worship"
201,The Church Next Door,,(614) 878-0123,"5755 Feder Rd,Columbus,OH",43228,https://thechurchnextdoor.org,5,1,,,Baptist Churches,Churches & Places of Worship,Religious Organizations,"Baptist Churches,Churches & Places of Worship,Religious Organizations"
202,Red Door Church,info@iamreddoor.org,(513) 549-5390,"1140 Smiley Ave,Cincinnati,OH",45240,http://www.iamreddoor.org,5,1,,,Baptist Churches,Churches & Places of Worship,Community Organizations,"Baptist Churches,Churches & Places of Worship,Community Organizations,Religious Organizations,Southern Baptist Churches"
203,Mt Calvary Missionary Baptist Church,,(937) 268-6736,"3375 W Siebenthaler Ave,Dayton,OH",45406,https://www.mtcalvarychurch.life,5,1,,,Baptist Churches,Churches & Places of Worship,,"Baptist Churches,Churches & Places of Worship"
204,Beacon Baptist Church,kwpuskas@gmail.com,(440) 244-0552,"3407 W Erie Ave,Lorain,OH",44053,http://www.bbclorain.com,5,1,,,Baptist Churches,Churches & Places of Worship,,"Baptist Churches,Churches & Places of Worship"
205,Triedstone Missionary Baptist Church,jkendrickj@aol.com,(614) 299-7069,"858 E 3rd Ave,Columbus,OH",43201,http://www.triedstonebaptistchurch.org,5,1,,,Baptist Churches,Churches & Places of Worship,Missionary Churches,"Baptist Churches,Churches & Places of Worship,Missionary Churches"
206,Shiloh Missionary Baptist Church,,(740) 349-9133,"383 Washington St,Newark,OH",43055,http://www.shilohnewark.com,5,1,,,Baptist Churches,Churches & Places of Worship,Missionary Churches,"Baptist Churches,Churches & Places of Worship,Missionary Churches"
207,Washington Heights Baptist Church,theheights@whbc.org,(937) 434-4676,"5650 Far Hills Ave,Dayton,OH",45429,http://www.whbc.org,5,1,,,Baptist Churches,Churches & Places of Worship,Clergy,"Baptist Churches,Churches & Places of Worship,Clergy,Religious Organizations"
208,Grace Baptist Church-Kettering,,(937) 293-7500,"2901 Galewood St,Dayton,OH",45420,https://www.gracebaptistofkettering.org,5,1,,,Baptist Churches,Churches & Places of Worship,Fundamental Baptist Churches,"Baptist Churches,Churches & Places of Worship,Fundamental Baptist Churches,Independent Baptist Churches"
209,Central Baptist Church,,(614) 279-3115,"1955 Frank Rd,Columbus,OH",43223,http://www.centralbaptistcolumbus.org,5,1,,,Baptist Churches,Churches & Places of Worship,,"Baptist Churches,Churches & Places of Worship"
210,Second Baptist Church,,(740) 362-4893,"55 Ross St,Delaware,OH",43015,,5,1,,,Baptist Churches,Churches & Places of Worship,,"Baptist Churches,Churches & Places of Worship"
